"","bootstrap1","bootstrap2","bootstrap3","bootstrap4","bootstrap5"
"result.78",164.835008027608,186.807842818547,144.090431854627,156.885787527712,196.115473173745
"result.79",189.296432634897,153.705351912024,151.402588684406,171.064940614628,157.146048390886
"result.80",180.559221107001,150.297693399476,182.342586964505,168.286837741402,163.622443143059
"result.81",177.807205086404,164.158277805089,192.602147889126,165.724370358756,179.641996350455
"result.82",158.188434220486,190.94579965406,187.255940621905,186.28225595408,186.240424326006
"result.83",201.588164292984,140.220884467534,151.486516469689,169.037139814378,170.095341322482
"result.84",147.871202361511,143.849635805728,187.319735995711,190.943447594923,160.741207042436
"result.85",205.219630041439,152.253461689747,180.297181229766,138.840647621406,200.837058809974
"result.86",156.63920204866,162.693288711965,166.242179846273,159.784358823327,150.960603406575
"result.87",147.930821270557,159.891230049121,154.002722706746,154.566681488705,152.253152565788
"result.88",171.618214712314,146.977399668025,174.829641701407,188.582129368252,184.730098915204
"result.89",196.266781954113,177.911551524863,154.261943002305,192.632141226231,155.775656527864
"result.90",175.94470709801,150.797225448758,180.204495754156,161.613865493496,165.453541731255
"result.91",135.399077698453,163.615424653687,198.422140081301,170.587652128322,147.602696353334
"result.92",183.42310931844,199.784000874316,193.999348741265,156.322523604153,195.190072431486
"result.93",161.037650801157,135.905690623945,145.278021268233,179.277083953063,172.523813916476
"result.94",184.857466231344,214.044478363773,175.268557364365,189.926214811354,162.083546191937
"result.95",180.795593204734,137.954064231403,191.265256327506,142.900954867711,151.257076774342
"result.96",131.333359148984,169.287414218929,184.104355524038,187.366640094368,191.132852658498
"result.97",165.379760166416,190.457542663446,176.48074288811,160.766562184962,145.978458139743
"result.98",170.679033282445,106.229474075036,164.166229033884,155.028135944539,158.461543458579
"result.99",178.873329877352,139.956203079117,162.036067995724,172.718964033336,140.828072200351
"result.100",168.612039919298,111.80270540209,187.503983832063,159.110204009005,112.93188081819
"result.101",226.560634939694,153.790774382015,161.62106476345,154.078070118257,151.69394950079
"result.102",130.520635721019,174.324101482758,183.669701801141,174.881182125813,144.216100711818
"result.103",191.952350093779,151.228419531707,176.248586642821,213.987899310857,187.550328343451
"result.104",159.696104269013,165.432514743597,172.656603613895,184.524998888749,129.532881481915
"result.105",177.604359106872,155.330238080404,199.18461985671,172.74557770303,153.346330659341
"result.106",174.686506286566,134.517420036211,162.235746601514,137.476073587214,145.710509890678
"result.107",130.895131221646,162.297949368724,157.139990870472,151.956818822969,160.926305137371
"result.108",139.268559706915,175.142951656889,167.365022218521,152.172422495126,190.543327363564
"result.109",151.237541019075,148.989031670156,151.514897434323,187.87858610661,183.749456074628
"result.110",162.659747124798,197.624971655347,165.588715774528,156.429263953593,186.728956437059
"result.111",163.72279038494,154.828305421232,145.337739050786,184.026546239854,155.116048511945
"result.112",188.776337526435,171.55047087699,140.424251570594,156.034107905777,155.119883182947
"result.113",169.589671937697,149.467960793382,159.591911968143,154.135401578932,200.944214050121
"result.114",142.548806583562,206.830151757171,156.595484738152,175.145899308927,168.148294989599
"result.115",160.78498984898,152.384541697343,168.219190735683,133.190515324466,201.718947630324
"result.116",180.668176905015,147.981907712063,130.429854089197,184.237029336552,191.8060229749
"result.117",135.033521518101,178.737476746154,171.145526221062,187.946187576024,160.519312133346
"result.118",162.818169372201,143.92453981129,122.787911729011,181.122686708365,173.403351601052
"result.119",181.980032654267,157.581498685502,140.443469126397,146.373251471879,163.183778265851
"result.120",191.465742632504,153.810854008955,160.184209416729,179.437473757405,208.766450355061
"result.121",153.038920466857,159.629936376731,147.058519024504,155.18065426737,175.596465203977
"result.122",150.733111507552,212.485542743877,189.629099717083,174.376071630595,151.425426468317
"result.123",166.73642957369,191.268599758805,181.124352505185,165.564054658721,133.35222356564
"result.124",172.824290611581,132.014533011715,177.784126433101,118.182534678087,151.667266170495
"result.125",129.512704869127,162.326759974639,163.828752260588,128.319478668895,143.305902070688
"result.126",148.011766594445,134.265647407746,192.84721438685,225.02608924912,208.455947522197
"result.127",163.564895379358,153.936559844612,212.159353722234,141.4929337427,162.66738514055
"result.128",150.033612820793,191.953819129779,143.557980112498,143.986486264862,171.741383576461
"result.129",160.165649082578,178.124417722405,245.599908274588,144.66338483491,201.155878999017
"result.130",178.118168713439,159.07204690331,130.406134386315,159.621676834663,157.935464548786
"result.131",153.971908774504,183.62359256681,177.102380367406,162.21348088988,179.954968805913
"result.132",169.472545192944,160.073575991001,163.254094084334,149.729391141501,151.267549778252
"result.133",201.92753694783,159.889874122669,206.789795544232,170.801440368054,160.790918952458
"result.134",148.471880207363,149.945774974922,175.124023201868,153.393876220542,158.476717032246
"result.135",167.120736578426,120.36960621948,175.048917642862,131.144898721938,177.207643982854
"result.136",185.294885048754,143.546554674454,156.611629913187,139.038245786982,184.327324255279
"result.137",170.466029002635,172.859564859597,165.481409395257,141.321545223007,149.916648180936
"result.138",164.351517105879,180.84027948795,162.525943266695,143.275906082969,165.745220406574
"result.139",192.855584536858,165.739488677137,162.884883980427,171.240037829044,152.166401985188
"result.140",183.246374258119,115.13424814392,145.989927750261,184.531001297886,177.867511044966
"result.141",122.488054339888,186.659032124664,199.037983458129,175.972120779143,176.226773018795
"result.142",173.387544612716,156.671554628507,165.51459468463,146.449137596988,168.612778559457
"result.143",180.104335132492,141.422244450966,145.719131869257,143.512350425605,178.463843596441
"result.144",153.230063102098,188.739101438202,174.099661156929,165.101089910281,189.610204383315
"result.145",192.632401434158,149.742768797282,151.257174374586,185.655001514626,197.24526916615
"result.146",139.024841397816,177.798872913342,161.833664685424,140.125106707984,164.286418037346
"result.147",210.553744308349,157.009969197228,175.215653487413,178.085123191556,212.978879730647
"result.148",166.054704726486,162.1017899443,156.663714403721,188.965294673474,166.620183164416
"result.149",158.149357868088,178.878112441973,188.233917204541,139.464298232766,160.259390786731
"result.150",210.765297466257,149.289123936691,171.041262194317,122.758497126744,167.300354828867
"result.151",224.475463177348,148.88007411843,184.199469987115,149.620379253789,188.091812716061
"result.152",161.655929172629,181.526711851289,128.479652390905,137.875658687791,137.443052759776
"result.153",188.034536552289,162.24191678306,181.269208075961,170.983369101782,154.705412688574
"result.154",141.767693254217,184.261637060401,152.193531268507,168.521053990819,180.560145828952
"result.155",152.529155389565,144.009341587689,191.332021320716,153.038896482451,155.316056465978
"result.156",149.400150253673,164.70664279579,165.022236709501,198.817533442071,177.891194395144
"result.157",155.445490646358,145.992945443636,155.120529932389,147.187571097207,187.381741062141
"result.158",139.039995397324,127.861257143769,177.846338154133,158.649008195134,172.252884187719
"result.159",164.654332297037,204.265074646493,180.361363865207,131.445962663435,199.565988841552
"result.160",161.184955117391,141.648370495538,194.706385065254,119.412558411297,184.130082091497
"result.161",179.550947052107,175.745830859761,169.351470782191,193.585108025401,201.1874128674
"result.162",172.501099495898,146.80765385356,149.650176562212,163.881718689081,171.193765426282
"result.163",195.804236065737,148.245018621219,145.609147319672,159.162127266026,145.667664699199
"result.164",175.232666653139,175.189011131897,136.818617911355,140.775251455531,168.886203149197
"result.165",180.088070269814,146.725365182785,160.079372631383,156.02742901175,161.170603193489
"result.166",170.654249383181,182.09946492738,187.268582738514,128.227088212675,173.71341536552
"result.167",155.888073928737,179.082890108467,170.294481391502,185.950383230995,176.332868591406
"result.168",170.438200973195,182.263175210196,192.221708859908,154.572564156888,172.3284589312
"result.169",141.498105018981,138.988661228485,163.695369628195,174.255432557702,232.588561871809
"result.170",178.694172166337,148.951386532024,176.191952970475,131.222554006528,179.390437678692
"result.171",125.102126176753,128.735672642414,165.567177506028,171.981485631481,155.044108777512
"result.172",162.38624159103,156.264786913786,168.340101652805,142.753797172523,178.738684489521
"result.173",147.062951356375,176.584239535659,189.971880647136,146.76749663892,184.805222666484
"result.174",169.346700244455,163.828347810565,167.496199289373,163.856924451286,149.53800045425
"result.175",189.106966989067,128.691811842608,207.165028389763,169.760844679627,184.962905476334
"result.176",200.311981150719,186.053121739906,179.921193129323,142.691490220688,199.272910848001
"result.177",155.777078042242,143.110782669093,161.011635196682,199.913105206406,146.983935871163
"result.178",147.312801087937,160.341797288496,162.779575520628,166.143253461397,181.794103080542
"result.179",165.056318905512,156.725006908679,150.796791822302,145.889546504102,153.906436414055
"result.180",130.661683517552,160.67631205654,162.798171625569,161.009045227192,162.422496098153
"result.181",169.023733715919,127.542209996557,144.374828705068,162.51394282433,194.550048418465
"result.182",149.657031413535,136.174171583757,172.390044342443,143.136313546788,170.067537363044
"result.183",131.592635162646,164.075285736523,141.783050036172,168.583054829681,184.151015127662
"result.184",181.001950453967,189.239189390809,193.874936530674,192.749325543871,182.253237215474
"result.185",175.489650869287,155.998328407131,202.628975189302,145.290844744102,176.818446795249
"result.186",163.934672067759,170.591011316171,172.05780696981,153.215246865357,180.450684130449
"result.187",160.558054159363,165.321480239392,234.770969946849,174.255411328606,186.806062265569
"result.188",160.109722318548,172.636235865073,144.501336274796,154.630275933693,229.763432067029
"result.189",176.702041136833,144.151850274373,172.462753928831,186.314363081971,162.368929824092
"result.190",123.009679499419,155.905981249501,184.866435768122,196.198764236375,207.773842730383
"result.191",179.963905684697,169.462179822394,148.017418242956,172.449576969668,189.999784636643
"result.192",206.905697848302,184.311480150911,151.138884003167,120.98449581422,210.448926266146
"result.193",196.078349762819,178.050875806286,177.203473889112,157.282799664494,165.737809659816
"result.194",148.955785002177,165.416309064237,191.020029610699,123.132533087309,188.396532918349
